id,name,midia,release,description,image
1,Classic,1,1986,"The manga tells the story of the Bronze Saints Pegasus, Dragon, Swan, Andromeda and Phoenix Saints who face different challenges imposed by the gods to protect the goddess Athena, love and justice on earth.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmanga-classic.jpg?alt=media&token=75a444fc-f3d8-4c88-9451-42ba63623364
2,Episode 0,1,2017,Manga Episode Zero is actually a three-chapter miniseries designed by master Masami Kurumada focused on the story of Aiolos of Sagittarius saving the baby goddess Athena (Saori).,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmanga-episode-g-0.jpg?alt=media&token=d19e2e5f-57a4-48b7-ba9d-5e8d1ea76a12
3,Origin,1,2018,"Manga Origin is the second miniseries designed by master Masami Kurumada. It has only two chapters and history focused on the relationship between the brothers Saga and Kanon de Gemini. It introduced the goddess Ker, sister of Thanatos and Hypnos, into the story and it is explained that she plays a key role in the events of the classic series.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmanga-origin.jpg?alt=media&token=fb026842-0535-4a6a-ad24-1a048624e412
4,Next Dimension,1,2006,The story of the manga Next Dimension is considered the official continuation of the classic Hades Saga and features script and draw of Master Kurumada.,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmanga-next-dimension.jpg?alt=media&token=e2b4dcc7-aaf0-429e-a50a-5f2c6a0e7f70
5,Saintia Sho,1,2013,"With the end of manga Episode G, Japanese publisher Akita Shoten announced a new manga from Saint Seiya for his place. Titled Saintia Shô (Saintia is a reference to a class of young girls fighting for Athena), the mangaka in charge is Chimaki Kuori.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmanga-saintia-sho.jpg?alt=media&token=f7d6d51a-feb5-4367-9291-4e2233a01513
6,The Lost Canvas,1,2006,"History revolves around the 18th century Holy War against Hades, or 243 years before the present generation. We can see young Libra Dohko and Aries Shion, the protagonist being the former Pegasus Saint, Tenma.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmanga-the-lost-canvas.jpg?alt=media&token=5d47713b-4e3b-480c-8cd0-97545246abf9
7,The Lost Canvas - Gaiden,1,2011,"Following the success of the Lost Canvas manga, mangaka Shiori Teshirogi began, in May 2012, the project with solo stories of the Gold Saints of the past.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmanga-the-lost-canvas-gaiden.jpg?alt=media&token=6eab9d9b-3f30-4013-936b-13330962f633
8,Episode G,1,2002,"The story revolves around basically the Gold Saints' past (hence the name Episode G = Gold ) and the fight against Kronos and his twelve Titans. At the time, in fact, we might consider that Episode G would be ground zero in history (many new details have been added and many Gold Saints have scams never seen before), but with the emergence of Lost Canvas and Next Dimension this changed a little.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmanga-episode-g.jpg?alt=media&token=f437d426-729e-4430-b807-7cd493403ead
9,Episode G: 0 - Aiolos,1,2007,"In 2008, Japanese publisher Akita Shoten made a compilation of 6 chapters (including a Prologue and an Epilogue) with a solo story by the Gold Saint Aiolos of Sagittarius. This compilation was released in a tankobon titled Volume 0 (which also contains all the issues of the Encyclopedia of the Galaxy, the encyclopedia of Episode G).",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmanga-episode-g-0.jpg?alt=media&token=d19e2e5f-57a4-48b7-ba9d-5e8d1ea76a12
10,Episode G - Assassin,1,2014,"The story has no connection with the previous saga, if it happens in a future that we can consider alternative, with the presence of Saints coming even from another timeline (the concept of time travel is applied here too, but there is no explanation or quote about this so far). There are many references to other sagas of Saint Seiya.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmanga-episodio-g-assassin.png?alt=media&token=ac5a5f51-e1c6-43c3-aaed-452f938839f7
