id,name,midia,release,description,image
1,Classic,1,1986,"The manga tells the story of the Bronze Saints Pegasus, Dragon, Swan, Andromeda and Phoenix Saints who face different challenges imposed by the gods to protect the goddess Athena, love and justice on earth.",assets/debuts/manga-classic.jpg
2,Episode 0,1,2017,Manga Episode Zero is actually a three-chapter miniseries designed by master Masami Kurumada focused on the story of Aiolos of Sagittarius saving the baby goddess Athena (Saori).,assets/debuts/manga-episodio0.jpg
3,Origin,1,2018,"Manga Origin is the second miniseries designed by master Masami Kurumada. It has only two chapters and history focused on the relationship between the brothers Saga and Kanon de Gemini. It introduced the goddess Ker, sister of Thanatos and Hypnos, into the story and it is explained that she plays a key role in the events of the classic series.",assets/debuts/manga-origin.jpg
4,Next Dimension,1,2006,The story of the manga Next Dimension is considered the official continuation of the classic Hades Saga and features script and draw of Master Kurumada.,assets/debuts/manga-next-dimension.jpg
5,Saintia Sho,1,2013,"With the end of manga Episode G, Japanese publisher Akita Shoten announced a new manga from Saint Seiya for his place. Titled Saintia Sh� (Saintia is a reference to a class of young girls fighting for Athena), the mangaka in charge is Chimaki Kuori.",assets/debuts/manga-saintia-sho.jpg
6,The Lost Canvas,1,2006,"History revolves around the 18th century Holy War against Hades, or 243 years before the present generation. We can see young Libra Dohko and Aries Shion, the protagonist being the former Pegasus Saint, Tenma.",assets/debuts/manga-the-lost-canvas.jpg
7,The Lost Canvas - Gaiden,1,2011,"Following the success of the Lost Canvas manga, mangaka Shiori Teshirogi began, in May 2012, the project with solo stories of the Gold Saints of the past.",assets/debuts/manga-the-lost-canvas-gaiden.jpg
8,Episode G,1,2002,"The story revolves around basically the Gold Saints' past (hence the name Episode G = Gold ) and the fight against Kronos and his twelve Titans. At the time, in fact, we might consider that Episode G would be ground zero in history (many new details have been added and many Gold Saints have scams never seen before), but with the emergence of Lost Canvas and Next Dimension this changed a little.",assets/debuts/manga-episode-g.jpg
9,Episode G: 0 - Aiolos,1,2007,"In 2008, Japanese publisher Akita Shoten made a compilation of 6 chapters (including a Prologue and an Epilogue) with a solo story by the Gold Saint Aiolos of Sagittarius. This compilation was released in a tankobon titled Volume 0 (which also contains all the issues of the Encyclopedia of the Galaxy, the encyclopedia of Episode G).",assets/debuts/manga-episode-g-0.jpg
10,Episode G - Assassin,1,2014,"The story has no connection with the previous saga, if it happens in a future that we can consider alternative, with the presence of Saints coming even from another timeline (the concept of time travel is applied here too, but there is no explanation or quote about this so far). There are many references to other sagas of Saint Seiya.",assets/debuts/manga-episodio-g-assassin.png
11,Omega,1,2013,"The manga of the Omega series was announced along with the second season of the anime. Who ""signs"" his production is a mangaka called Bau. Only 5 chapters have been published, the first based on the first episode of the anime and the other four based on episodes of the second season. Initially they were published in the Japanese magazine Kerokero Ace by Kadokawa Shoten, and were later compiled into a single tankobon released on September 26, 2013.",assets/debuts/manga-omega.jpg
12,Classic,2,1986,"Legend tells us that the Saints always appear when evil forces try to take over the world. In a distant age, there was a group of young men who protected Athena, the Goddess of War. They were called the Saints of Athena and always fought without weapons. It is said that with a movement of the hand, they were able to tear the sky and that with just one kick, they cracked the earth. Today again a group of horsemen with the same power and courage have come to earth.",assets/debuts/anime-classic.jpg
13,Hades Chapter,2,2002,"It was not until 2002 that the ""Hades arc"", the finale to Kurumada's manga, was adapted into an original video animation (OVA) series. The project was divided into three chapters � ""Sanctuary"", ""Inferno"" and ""Elysion"" � spanning a total of 31 episodes.",assets/debuts/anime-hades-chapter.jpg
14,Soul of Gold,2,2015,"The story takes place parallel to the Hades Saga, more specifically after the destruction of the Western Wall. The Gold Saints were brought to Asgard and that is where the fighting takes place. New 7 God Warriors appear in history, with armor enhanced by the power of the Yggdrasil tree, brought back to Earth by Andreas Lise, Odin's new representative who took Hilda's place after she mysteriously fell ill.",assets/debuts/anime-soul-of-gold.jpg
15,The Lost Canvas,2,2009,"In all, only 26 episodes were produced, released directly on DVD and Blu-Ray, divided into two seasons (13 episodes in each). The announcement of the second season took place on September 6, 2010 and the premiere took place only on February 23, 2011.",assets/debuts/anime-the-lost-canvas.jpg
16,Omega,2,2012,"The series follows a young teenager known as Koga who becomes one of the 88 warriors protecting the Goddess Athena known as the Saints. As the Pegasus Bronze Saint, Koga embarks on a journey to increase his power to save Athena while meeting some other Saints. For the second season, the series tells the conflict between Athena and her sister Pallas which starts a new war.",assets/debuts/anime-omega.jpg
17,Saintia Sho,2,2018,"The anime was announced on December 14, 2016, in leaked information days before the release of the Japanese magazine Champion Red scheduled for December 19. Just before that, on December 2nd, during CCXP 2016, in Brazil, the CEO of Toei Animation, mr. Kozo Morishita, had announced that there was an anime in production by Toei Animation, but had not informed what it was.",assets/debuts/anime-saintia-sho.png
18,Cosmo Special,3,1988,"The Hypermith was originally published in the pages of the Japanese magazine Cosmo Special, it brings important details that help in understanding the origin of Saint Seiya and some factors never explained in the manga and anime. Because they were published before the Hades Saga, Episode G, and other sagas, some Hypermith items were the basis for these sagas when they were finally created.",assets/debuts/magazine-cosmo-special.jpg
19,Encyclopedia,3,2001,"Official Encyclopedia of Saint Seiya. It brings a complete summary of the story presented in the manga (has no information about the anime, only about the manga), as well as the profile of all characters (with description, hit list, physical characteristics, degree of strength, etc.). The book features articles on mythology, a list of chapters, an interview with author Masami Kuruamada, and much more!",assets/debuts/book-encyclopedia.jpg
20,Do Cvidanija - Time of Promise,6,1997,"In 1997, in Japan, a CD of Saint Seiya was released called 1997 Drama and Song Collection - Shonenki (Tale of Youth). The CD has five tracks, three new songs at the time (Burning Blood, Born to be a Soldier and I Leave My Hear) and two English versions of two famous songs: Shining Star (Lullaby English version) and Soldier. Dream (English version of Soldier Dream itself). In addition, there is a 27-minute track called Do Cvidanija - Promise Time, a drama featuring the voices of Japanese voice actors Seiya, Shiryu, Hyoga, Shun, Ikki, Saori, Minu, Shunrei, and the orphanage children.",assets/debuts/audio-do-cvidanija.jpg
21,Evil Goddess Eris,7,1987,"When Seiya, Hy?ga and Shun visit Saori (Athena) at the orphanage, they meet an employee called Eri. She is possessed by Eris, the Goddess of Discord, and kidnaps Athena, planning to use the golden apple to suck her energy out, fully reincarnate and take over the world.",assets/debuts/movie-evil-goddess-eris.jpg
22,The Heated Battle of the Gods,7,1988,"It starts with Cygnus Hyoga saving a stranger from being beaten to death in Siberia. The man reveals himself to come from the domains of the god Odin, Asgard, and claims something terrible is going to happen there.",assets/debuts/movie-the-heated-battle-of-the-gods.jpg
23,Legend of Crimson Youth,7,1988,"Athena receives the visit of Phoebus Abel, her older brother and God of the Corona. He informs her that he has come to destroy humanity as punishment for their corruption, just as it was done in ancient times.",assets/debuts/movie-legend-of-crimson-youth.jpg
24,Warriors of the Final Holy Battle,7,1989,"The plot involves the coming of Lucifer to the Sanctuary, where his underlings systematically dispose of the surviving Gold Saints. Athena goes to Lucifer to ask for peace, placing herself in peril. The Bronze Saints must then come to her rescue, destroying Lucifer's Fallen Angels (Seima Tenshi in Japanese) in the process.",assets/debuts/movie-warriors-of-the-final-holy-battle.jpg
